종목명,종목코드,채널,진입일,고정수익%,고정사유,고정일차,트레일링수익%,트레일링사유,트레일링일차,T+5%,T+10%,T+20%,만기수익%,동일봉양방터치
하이브,352820,차트TOP2,2026-08-05,3.79,익절,2,0.00,트레일링손절,5,0.17,-3.24,-1.79,-1.79,
피에스케이,319660,랜덤2,2026-08-04,-12.94,손절,2,-12.94,손절,2,-5.35,-5.35,-9.09,-9.09,
조일알미늄,018470,랜덤2,2026-08-04,-7.08,손절,11,-7.08,손절,11,-0.10,-5.26,-6.89,-6.89,
주성엔지니어링,036930,리포트TOP2_단기,2026-08-04,11.11,익절,5,15.23,트레일링손절,10,11.39,17.70,19.14,19.14,
코오롱인더,120110,리포트TOP2_중기,2026-08-04,14.88,익절,5,5.84,트레일링손절,6,6.59,2.64,6.03,6.03,
HLB,028300,수급TOP2,2026-08-04,19.44,익절,5,20.53,트레일링손절,10,21.59,22.03,-3.33,-3.33,
성호전자,043260,리포트TOP2_단기,2026-07-31,27.98,익절,3,28.90,트레일링손절,4,20.69,43.06,19.07,19.07,
LG에너지솔루션,373220,리포트TOP2_중기,2026-07-31,11.28,익절,5,5.65,트레일링손절,14,11.28,14.22,16.85,16.85,
롯데관광개발,032350,리포트TOP2_단기,2026-07-27,-7.63,손절,2,-7.63,손절,2,-1.27,12.20,13.14,13.14,
신한지주,055550,리포트TOP2_중기,2026-07-27,-1.95,손절,1,-1.95,손절,1,0.20,3.80,3.90,3.90,
기아,000270,리포트TOP2_중기,2026-07-23,-5.67,손절,1,-5.67,손절,1,-17.43,-8.68,-10.53,-10.53,
비에이치아이,083650,리포트TOP2_단기,2026-07-22,5.61,익절,1,0.01,트레일링손절,3,-17.64,15.69,37.23,37.23,
이마트,139480,리포트TOP2_중기,2026-07-21,-6.96,손절,20,-6.96,손절,20,-1.49,-0.50,-9.94,-9.94,
HD현대에너지솔루션,322000,리포트TOP2_중기,2026-07-15,-8.71,손절,2,-8.71,손절,2,44.97,-14.54,4.99,4.99,
티씨머티리얼즈,125020,리포트TOP2_단기,2026-07-14,-8.28,손절,3,-8.28,손절,3,-1.87,-18.54,18.34,18.34,
SK텔레콤,017670,리포트TOP2_중기,2026-07-10,-8.12,손절,5,-8.12,손절,5,-4.51,10.37,-4.17,-4.17,
농심,004370,리포트TOP2_중기,2026-07-09,6.23,익절,10,14.73,만기,20,-0.99,4.11,14.73,14.73,
현대로템,064350,리포트TOP2_중기,2026-07-06,-11.10,손절,2,-11.10,손절,2,-12.64,-21.33,-28.11,-28.11,
미래에셋증권,006800,리포트TOP2_단기,2026-07-03,0.00,익절,1,-2.44,트레일링손절,2,-6.22,-17.67,-26.11,-26.11,
한화오션,042660,리포트TOP2_중기,2026-07-03,6.95,익절,1,-17.29,트레일링손절,2,-27.54,-25.85,-26.02,-26.02,
S-Oil,010950,리포트TOP2_중기,2026-07-01,10.91,익절,4,22.53,트레일링손절,9,19.64,27.64,18.27,18.27,
주성엔지니어링,036930,리포트TOP2_단기,2026-06-30,11.94,익절,1,12.44,트레일링손절,2,-12.64,-4.18,-42.24,-42.24,
삼성E&A,028050,리포트TOP2_중기,2026-06-30,8.94,익절,1,1.17,트레일링손절,2,-2.26,-17.47,-18.29,-18.29,
코웨이,021240,리포트TOP2_단기,2026-06-29,8.96,익절,3,2.28,트레일링손절,5,5.09,1.44,0.88,0.88,
이수페타시스,007660,리포트TOP2_중기,2026-06-29,12.22,익절,2,12.56,트레일링손절,3,-8.33,-9.86,-35.38,-35.38,
